date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:54	952/952	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/product/license.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/product/license.png	(from https://citizentrustonlinebk.com/)
17:58:55	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:58:56%20GMT	https://citizentrustonlinebk.com/images/bg_reg.jpg	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/images/bg_reg.27.delayed	(from https://citizentrustonlinebk.com/)
17:58:57	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:58:57%20GMT	https://citizentrustonlinebk.com/main/javascript:;	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/javascript_;.28.delayed	(from https://citizentrustonlinebk.com/)
17:58:58	3714/3714	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/slider/theMouse.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/slider/theMouse.png	(from https://citizentrustonlinebk.com/)
17:58:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:59:00%20GMT	https://citizentrustonlinebk.com/main/www.facebook.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/www.facebook.2a.delayed	(from https://citizentrustonlinebk.com/)
17:59:01	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:59:01%20GMT	https://citizentrustonlinebk.com/main/www.google.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/www.google.2b.delayed	(from https://citizentrustonlinebk.com/)
17:59:03	80505/80505	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/slider/lock-open.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/slider/lock-open.png	(from https://citizentrustonlinebk.com/)
17:59:06	36353/36353	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/slider/frgtPass.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/slider/frgtPass.png	(from https://citizentrustonlinebk.com/)
17:59:06	718940/718940	---M--	200	added ('OK')	image/gif	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/modal/internet-banking.gif	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/modal/internet-banking.gif	(from https://citizentrustonlinebk.com/)
17:59:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:59:07%20GMT	https://citizentrustonlinebk.com/images/slider/forex-bg.jpg	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/images/slider/forex-bg.2f.delayed	(from https://citizentrustonlinebk.com/)
17:59:08	1469/1469	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:59:09%20GMT	https://citizentrustonlinebk.com/main/	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/index.html	(from https://citizentrustonlinebk.com/)
17:59:10	86658/86658	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/jquery.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/jquery.min.js	(from https://citizentrustonlinebk.com/)
17:59:11	37045/37045	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/bootstrap.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/bootstrap.min.js	(from https://citizentrustonlinebk.com/)
17:59:12	5559/5559	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/imagesloaded.pkgd.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/imagesloaded.pkgd.min.js	(from https://citizentrustonlinebk.com/)
17:59:14	35313/35313	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/isotope.pkgd.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/isotope.pkgd.min.js	(from https://citizentrustonlinebk.com/)
17:59:15	5339/5339	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/jquery.countdown.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/jquery.countdown.min.js	(from https://citizentrustonlinebk.com/)
17:59:16	3760/3760	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/jquery.countTo.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/jquery.countTo.js	(from https://citizentrustonlinebk.com/)
17:59:18	20216/20216	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/jquery.magnific-popup.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/jquery.magnific-popup.min.js	(from https://citizentrustonlinebk.com/)
17:59:21	23890/23890	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/owl.carousel.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/owl.carousel.min.js	(from https://citizentrustonlinebk.com/)
17:59:22	2964/2964	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/visible.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/visible.js	(from https://citizentrustonlinebk.com/)
17:59:24	2381/2381	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/js/jquery.ajaxchimp.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/js/jquery.ajaxchimp.min.js	(from https://citizentrustonlinebk.com/)
17:59:25	14725/14725	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/js/custom.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/js/custom.js	(from https://citizentrustonlinebk.com/)
17:59:26	1670/1670	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/js/main.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/js/main.js	(from https://citizentrustonlinebk.com/)
17:59:28	8182/8182	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/js/wow.min.js	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/js/wow.min.js	(from https://citizentrustonlinebk.com/)
17:59:29	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular.html	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular.html	(from https://citizentrustonlinebk.com/main/assets/css/bootstrap.min.css)
17:59:30	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regulard41dd41dd41dd41d.html?	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regulard41dd41dd41dd41dd41d.html	(from https://citizentrustonlinebk.com/main/assets/css/bootstrap.min.css)
17:59:32	18028/18028	---M--	200	added ('OK')	font/woff2	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular.woff2	(from https://citizentrustonlinebk.com/main/assets/css/bootstrap.min.css)
17:59:33	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular-2.html	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular-2.html	(from https://citizentrustonlinebk.com/main/assets/css/bootstrap.min.css)
17:59:34	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular-3.html	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular-3.html	(from https://citizentrustonlinebk.com/main/assets/css/bootstrap.min.css)
17:59:36	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular-4.html	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/glyphicons-halflings-regular-4.html	(from https://citizentrustonlinebk.com/main/assets/css/bootstrap.min.css)
17:59:37	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e.html?v=4.7.0	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e3e6e.html	(from https://citizentrustonlinebk.com/main/assets/css/font-awesome.min.css)
17:59:38	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfontd41dd41dd41dd41d.html?	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfontd41dd41dd41dd41dd41d.html	(from https://citizentrustonlinebk.com/main/assets/css/font-awesome.min.css)
17:59:41	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e.woff2?v=4.7.0	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e3e6e.woff2	(from https://citizentrustonlinebk.com/main/assets/css/font-awesome.min.css)
17:59:42	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e-2.html?v=4.7.0	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e-23e6e.html	(from https://citizentrustonlinebk.com/main/assets/css/font-awesome.min.css)
17:59:44	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e-3.html?v=4.7.0	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e-33e6e.html	(from https://citizentrustonlinebk.com/main/assets/css/font-awesome.min.css)
17:59:45	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e-4.html?v=4.7.0	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/fontawesome-webfont3e6e3e6e3e6e3e6e-43e6e.html	(from https://citizentrustonlinebk.com/main/assets/css/font-awesome.min.css)
17:59:47	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/themify9f249f249f249f24.html?-fvbane	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/themify9f249f249f249f249f24.html	(from https://citizentrustonlinebk.com/main/assets/css/themify-icons.css)
17:59:48	315/315	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2015:06:10%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/themifyd41dd41dd41dd41d.html?	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/themifyd41dd41dd41dd41dd41d.html	(from https://citizentrustonlinebk.com/main/assets/css/themify-icons.css)
17:59:50	56108/56108	---M--	200	added ('OK')	font/woff	date:Fri,%2025%20Oct%202019%2006:43:46%20GMT	https://citizentrustonlinebk.com/main/assets/fonts/themify9f249f249f249f24.woff?-fvbane	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/assets/fonts/themify9f249f249f249f249f24.woff	(from https://citizentrustonlinebk.com/main/assets/css/themify-icons.css)
